Train_No,Distance,Route_Type,Start_Time,End_Time,Journey_Duration_Hours
8568,1578,Long,1900-01-01 05:45:00,1900-01-01 12:30:00,6.75
8573,760,Long,1900-01-01 22:55:00,1900-01-01 13:25:00,14.5
8574,759,Long,1900-01-01 15:30:00,1900-01-01 06:50:00,15.333333333333334
8581,11,Short,1900-01-01 23:30:00,1900-01-01 23:50:00,0.3333333333333333
8582,11,Short,1900-01-01 04:45:00,1900-01-01 05:00:00,0.25
8617,1365,Long,1900-01-01 14:05:00,1900-01-01 13:55:00,23.833333333333332
8618,1356,Long,1900-01-01 22:50:00,1900-01-01 22:30:00,23.666666666666668
8627,484,Medium,1900-01-01 12:50:00,1900-01-01 22:10:00,9.333333333333334
8628,481,Medium,1900-01-01 05:45:00,1900-01-01 15:15:00,9.5
8872,133,Short,1900-01-01 21:30:00,1900-01-01 00:15:00,2.75
9003,1355,Long,1900-01-01 16:05:00,1900-01-01 06:00:00,13.916666666666666
9004,1358,Long,1900-01-01 16:15:00,1900-01-01 06:10:00,13.916666666666666
9005,1373,Long,1900-01-01 16:00:00,1900-01-01 07:55:00,15.916666666666666
9006,1376,Long,1900-01-01 14:50:00,1900-01-01 06:55:00,16.083333333333332
9011,1209,Long,1900-01-01 11:15:00,1900-01-01 09:25:00,22.166666666666668
9012,1211,Long,1900-01-01 14:50:00,1900-01-01 12:45:00,21.916666666666668
9433,780,Long,1900-01-01 00:25:00,1900-01-01 13:50:00,13.416666666666666
9434,780,Long,1900-01-01 16:35:00,1900-01-01 06:15:00,13.666666666666666
9621,1281,Long,1900-01-01 06:30:00,1900-01-01 04:45:00,22.25
9622,1281,Long,1900-01-01 06:15:00,1900-01-01 03:25:00,21.166666666666668
9721,429,Medium,1900-01-01 06:15:00,1900-01-01 13:30:00,7.25
9722,429,Medium,1900-01-01 15:05:00,1900-01-01 22:05:00,7.0
9761,125,Short,1900-01-01 04:20:00,1900-01-01 07:05:00,2.75
9809,447,Medium,1900-01-01 21:10:00,1900-01-01 04:20:00,7.166666666666667
9810,450,Medium,1900-01-01 05:15:00,1900-01-01 13:15:00,8.0
10103,590,Long,1900-01-01 07:10:00,1900-01-01 18:45:00,11.583333333333334
10104,594,Long,1900-01-01 09:15:00,1900-01-01 21:40:00,12.416666666666666
10111,590,Long,1900-01-01 23:05:00,1900-01-01 10:45:00,11.666666666666666
10112,594,Long,1900-01-01 18:00:00,1900-01-01 05:50:00,11.833333333333334
10215,726,Long,1900-01-01 21:30:00,1900-01-01 10:55:00,13.416666666666666
10216,727,Long,1900-01-01 13:50:00,1900-01-01 03:15:00,13.416666666666666
11001,348,Medium,1900-01-01 05:00:00,1900-01-01 12:15:00,7.25
11002,348,Medium,1900-01-01 13:00:00,1900-01-01 20:25:00,7.416666666666667
11003,502,Long,1900-01-01 00:05:00,1900-01-01 10:40:00,10.583333333333334
11004,504,Long,1900-01-01 18:50:00,1900-01-01 06:45:00,11.916666666666666
11005,1636,Long,1900-01-01 21:30:00,1900-01-01 07:15:00,9.75
11006,1639,Long,1900-01-01 20:50:00,1900-01-01 05:40:00,8.833333333333334
11007,191,Short,1900-01-01 07:00:00,1900-01-01 11:05:00,4.083333333333333
11008,191,Short,1900-01-01 15:15:00,1900-01-01 19:17:00,4.033333333333333
11009,191,Short,1900-01-01 14:30:00,1900-01-01 18:40:00,4.166666666666667
11010,191,Short,1900-01-01 06:05:00,1900-01-01 09:55:00,3.8333333333333335
11011,723,Long,1900-01-01 12:05:00,1900-01-01 04:45:00,16.666666666666668
11012,723,Long,1900-01-01 06:30:00,1900-01-01 23:45:00,17.25
11013,1515,Long,1900-01-01 22:35:00,1900-01-01 07:15:00,8.666666666666666
11014,1515,Long,1900-01-01 08:55:00,1900-01-01 14:30:00,5.583333333333333
11015,1678,Long,1900-01-01 22:45:00,1900-01-01 07:05:00,8.333333333333334
11016,1677,Long,1900-01-01 19:00:00,1900-01-01 04:20:00,9.333333333333334
11017,1631,Long,1900-01-01 12:05:00,1900-01-01 18:35:00,6.5
11018,1634,Long,1900-01-01 14:00:00,1900-01-01 23:45:00,9.75
11019,1941,Long,1900-01-01 15:10:00,1900-01-01 04:15:00,13.083333333333334
11020,1941,Long,1900-01-01 15:25:00,1900-01-01 03:55:00,12.5
11021,1843,Long,1900-01-01 21:30:00,1900-01-01 11:45:00,14.25
11022,1845,Long,1900-01-01 15:00:00,1900-01-01 05:40:00,14.666666666666666
11023,517,Long,1900-01-01 17:50:00,1900-01-01 06:05:00,12.25
11024,517,Long,1900-01-01 22:50:00,1900-01-01 11:50:00,13.0
11025,545,Long,1900-01-01 00:25:00,1900-01-01 12:05:00,11.666666666666666
11026,545,Long,1900-01-01 11:45:00,1900-01-01 21:50:00,10.083333333333334
11027,1281,Long,1900-01-01 23:45:00,1900-01-01 03:30:00,3.75
11028,1283,Long,1900-01-01 23:55:00,1900-01-01 03:45:00,3.8333333333333335
11029,517,Long,1900-01-01 08:40:00,1900-01-01 20:25:00,11.75
11030,517,Long,1900-01-01 07:55:00,1900-01-01 20:05:00,12.166666666666666
11031,108,Short,1900-01-01 10:10:00,1900-01-01 12:20:00,2.1666666666666665
11032,108,Short,1900-01-01 14:50:00,1900-01-01 17:40:00,2.8333333333333335
11033,1955,Long,1900-01-01 16:15:00,1900-01-01 06:45:00,14.5
11034,1953,Long,1900-01-01 16:45:00,1900-01-01 08:05:00,15.333333333333334
11035,1210,Long,1900-01-01 21:30:00,1900-01-01 21:40:00,0.16666666666666666
11036,1213,Long,1900-01-01 06:15:00,1900-01-01 05:40:00,23.416666666666668
11037,1777,Long,1900-01-01 16:15:00,1900-01-01 01:05:00,8.833333333333334
